URL,Title,Description,Keyword,H1
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/aeon.html,イオン銀行の住宅ローン金利と考察,イオン銀行では金利差引幅でどのくらい優遇されるかなどが異なる２種類の住宅ローンが存在します。またイオン銀行ならではの「イオンセレクトクラブ」も魅力。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/atamakin.html,住宅ローンの頭金は用意した方がよいのでしょうか？,住宅ローンの頭金は用意すべきか。実際はケース・バイ・ケース。頭金は用意した方がよいが、あくまでも生活の安定を確保できる範囲内で用意するのがいいでしょう。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/cancel.html,住宅ローンのキャンセルは可能ですか？,住宅ローンのキャンセルは可能？　キャンセル自体は特に何の問題もなく可能ですが、いくらかの出費は必要となります。キャンセルの際はなるべく早く連絡しましょう。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/free.html,自由業（個人事業主）でも住宅ローンは利用できる？,自由業（個人事業主）でも住宅ローンを組める？住宅ローンの審査基準は各金融機関が独自に設けており、最近では柔軟に対応してくれる場合が増えています。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/futan.html,今の家賃程度の負担で住宅ローンが組めそうなのですが…。,家賃程度の負担で住宅ローンが組める？　住宅を持った場合、出費が増えるのであまり積極的には考えないほうがいいでしょう。無理なく返済できる額をおすすめします。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/hatan.html,住宅ローンで破綻しないための目安を教えてください。,住宅ローンで破綻しない目安は？年収の4倍程度や返済比率25％などがあります。自身の生活や年収をベースにして、返済比率を参考にしつつ、融資額は検討してください。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/hendou.html,変動金利には思わぬリスクがあると聞いたのですが。,変動金利の住宅ローンを選択していたら、返済終了時にまとまったお金を請求されるケースは起こり得ます。ここでは最初にお伝えしたい1.25倍ルールについて解説。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/hisai.html,東日本大震災で被災した住宅のための融資があると聞いたのですが……。,東日本大震災で被災した住宅のための融資があります。住宅自体に被害があった場合と、住宅には被害はなくとも、よう壁の損壊等が発生した場合の2種類があります。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/jishinhoken.html,住宅ローンを組む際に、地震保険は必要でしょうか？,住宅ローン組む際には地震保険に入るべき？まずは保証内容の全体像を把握しましょう。火災保険ほど手厚くはないので、じっくり考えて入るのがいいでしょう。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
https://xn--u9j6nsa9a3643aiuddtuckj386c6f2c.net/josei.html,女性なのですが、やはり女性向け住宅ローンを選んだ方がいいのでしょうか？,女性は女性向けの住宅ローンを選ぶべき？一括りに「女性向け」と言っても特徴がそれぞれ異なっているので、ニーズが満たしているものに絞って検討することが重要です。,,"<a href=""./""><img src=""wp-content/themes/mortgage/images/logo.png"" width=""394"" height=""43"" alt=""住宅ローン金利の知恵｜減税効果と金利動向の2014年度 研究＆比較"" /></a>"
